ALBUMIN(SERUM), LBXSAL
ALP, LBXSAPSI
ALT, LBXSATSI
AST, LBXSASSI
BASOPHILS/100 LEUKOCYTES, LBXBAPCT
BASOPHILS, LBDBANO 
BILIRUBIN, LBXSTB
CALCIUM, LBXSCA
CHLORIDE, LBXSCLSI
CHOLESTEROL, LBXTC
EOSINOPHILS/100 LEUKOCYTES, LBXEOPCT
EOSINOPHILS, LBDEONO
ERYTHROCYTE DISTRIBUTION WIDTH, LBXRDW
ERYTHROCYTES, LBXRBCSI
GLOBULIN, LBXSGB
GLUCOSE SERUM, LBXGLU
GLYCOHEMOGLOBIN, LBXGH
HDL, LBDHDD
HEMATOCRIT, LBXHGB
HEMOGLOBIN, LBXHCT
LDL, LBDLDL
LEUKOCYTES, LBXWBCSI
LYMPHOCYTES/100 LEUKOCYTES, LBXLYPCT
LYMPHOCYTES, LBDLYMNO
MONOCYTES/100 LEUKOCYTES, LBXMOPCT
MONOCYTES, LBDMONO
NEUTROPHILS/100 LEUKOCYTES, LBXNEPCT
NEUTROPHILS, LBDNENO
PLATELETS, LBXPLTSI
POTASSIUM, LBXSKSI
PROTEIN, LBXSTP
SODIUM, LBXSNASI
TRIGLYCERIDES, LBXTR
TSH, LBXTSH
UREA NITROGEN, LBXSBU
